Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
USA,2023,SH.DYN.MORT,6.5
USA,2022,SH.DYN.MORT,6.5
USA,2021,SH.DYN.MORT,6.5
USA,2020,SH.DYN.MORT,6.5
USA,2019,SH.DYN.MORT,6.5
USA,2018,SH.DYN.MORT,6.5
USA,2017,SH.DYN.MORT,6.6
USA,2016,SH.DYN.MORT,6.7
USA,2015,SH.DYN.MORT,6.8
USA,2014,SH.DYN.MORT,6.8
USA,2013,SH.DYN.MORT,6.9
USA,2012,SH.DYN.MORT,7
USA,2011,SH.DYN.MORT,7.2
USA,2010,SH.DYN.MORT,7.3
USA,2009,SH.DYN.MORT,7.5
USA,2008,SH.DYN.MORT,7.6
USA,2007,SH.DYN.MORT,7.7
USA,2006,SH.DYN.MORT,7.9
USA,2005,SH.DYN.MORT,8
USA,2004,SH.DYN.MORT,8.1
USA,2003,SH.DYN.MORT,8.1
USA,2002,SH.DYN.MORT,8.2
USA,2001,SH.DYN.MORT,8.3
USA,2000,SH.DYN.MORT,8.4
USA,1999,SH.DYN.MORT,8.6
USA,1998,SH.DYN.MORT,8.7
USA,1997,SH.DYN.MORT,8.9
USA,1996,SH.DYN.MORT,9.2
USA,1995,SH.DYN.MORT,9.5
USA,1994,SH.DYN.MORT,9.8
USA,1993,SH.DYN.MORT,10.1
USA,1992,SH.DYN.MORT,10.5
USA,1991,SH.DYN.MORT,10.9
USA,1990,SH.DYN.MORT,11.2
USA,1989,SH.DYN.MORT,11.6
USA,1988,SH.DYN.MORT,11.9
USA,1987,SH.DYN.MORT,12.1
USA,1986,SH.DYN.MORT,12.4
USA,1985,SH.DYN.MORT,12.7
USA,1984,SH.DYN.MORT,13
USA,1983,SH.DYN.MORT,13.4
USA,1982,SH.DYN.MORT,13.9
USA,1981,SH.DYN.MORT,14.4
USA,1980,SH.DYN.MORT,15
USA,1979,SH.DYN.MORT,15.6
USA,1978,SH.DYN.MORT,16.3
USA,1977,SH.DYN.MORT,17.1
USA,1976,SH.DYN.MORT,17.9
USA,1975,SH.DYN.MORT,18.8
USA,1974,SH.DYN.MORT,19.7
USA,1973,SH.DYN.MORT,20.6
USA,1972,SH.DYN.MORT,21.5
USA,1971,SH.DYN.MORT,22.4
USA,1970,SH.DYN.MORT,23.2
USA,1969,SH.DYN.MORT,24.1
USA,1968,SH.DYN.MORT,24.9
USA,1967,SH.DYN.MORT,25.7
USA,1966,SH.DYN.MORT,26.4
USA,1965,SH.DYN.MORT,27.1
USA,1964,SH.DYN.MORT,27.7
USA,1963,SH.DYN.MORT,28.3
USA,1962,SH.DYN.MORT,28.9
USA,1961,SH.DYN.MORT,29.5
USA,1960,SH.DYN.MORT,30.1
USA,2022,SI.POV.DDAY,1.2
USA,2021,SI.POV.DDAY,0.2
USA,2020,SI.POV.DDAY,0.2
USA,2019,SI.POV.DDAY,1
USA,2018,SI.POV.DDAY,1
USA,2017,SI.POV.DDAY,1.2
USA,2016,SI.POV.DDAY,1
USA,2015,SI.POV.DDAY,1.2
USA,2014,SI.POV.DDAY,1.2
USA,2013,SI.POV.DDAY,1
USA,2012,SI.POV.DDAY,1
USA,2011,SI.POV.DDAY,1
USA,2010,SI.POV.DDAY,1
